variable,tipo_objetivo,n,missing,mean,std,min,max,skew,kurtosis,q01,q05,q25,q50,q75,q95,q99,p1,p0,valores_unicos
AbstentionPtge,continua,8117,0,26.50164740667734,7.5334383575527815,0.0,57.576,-0.05373592982913489,0.49367091705889754,7.692,14.286,21.678,26.424,31.471,38.648599999999995,44.660759999999996,,,
AbstencionAlta,binaria,8117,0,,,,,,,,,,,,,,0.3111987187384502,0.6888012812615498,"0,1"
