Modelo,Rsquared
Stepwise AIC,0.3505130652313637
Stepwise AIC,0.32871193839552404
Stepwise AIC,0.35299342702389824
Stepwise AIC,0.394341157572639
Stepwise AIC,0.37813598183019703
Stepwise AIC,0.35658388119950546
Stepwise AIC,0.3410010776429764
Stepwise AIC,0.38378405199709686
Stepwise AIC,0.3801667875755633
Stepwise AIC,0.3439589711674621
Stepwise AIC,0.3256351726501878
Stepwise AIC,0.33805411185714085
Stepwise AIC,0.3781104825092938
Stepwise AIC,0.3886792539533881
Stepwise AIC,0.37065453804995296
Stepwise AIC,0.386354842365879
Stepwise AIC,0.3619191838681258
Stepwise AIC,0.36762995077627203
Stepwise AIC,0.35293958505579026
Stepwise AIC,0.34605024279752705
Stepwise AIC,0.33160043513692106
Stepwise AIC,0.40166101450255176
Stepwise AIC,0.37633468288767624
Stepwise AIC,0.3458793778802105
Stepwise AIC,0.34587581214888397
Stepwise AIC,0.385415176180508
Stepwise AIC,0.36266284914111757
Stepwise AIC,0.3540828986330985
Stepwise AIC,0.3570326287298047
Stepwise AIC,0.35576079701571306
Stepwise AIC,0.3649053748211496
Stepwise AIC,0.3667031372798766
Stepwise AIC,0.3501249407547429
Stepwise AIC,0.34926643789687917
Stepwise AIC,0.37233579216031276
Stepwise AIC,0.32190833941217234
Stepwise AIC,0.3904588961051244
Stepwise AIC,0.38673560702592047
Stepwise AIC,0.3366722999732993
Stepwise AIC,0.3702489200578255
Stepwise AIC,0.34522619712469993
Stepwise AIC,0.37209928776957923
Stepwise AIC,0.3635887290619534
Stepwise AIC,0.35981563659857463
Stepwise AIC,0.36736475351707776
Stepwise AIC,0.34111813685985504
Stepwise AIC,0.38255938776421117
Stepwise AIC,0.36852043985845595
Stepwise AIC,0.37785481989230085
Stepwise AIC,0.3273765751883998
Stepwise AIC,0.38584105212450615
Stepwise AIC,0.3436229377933898
Stepwise AIC,0.3246896846348122
Stepwise AIC,0.3872648046240572
Stepwise AIC,0.3744233096592585
Stepwise AIC,0.3486985797702681
Stepwise AIC,0.38608220673217597
Stepwise AIC,0.33593013726765064
Stepwise AIC,0.33529910607544755
Stepwise AIC,0.3984128173504149
Stepwise AIC,0.36146971330311095
Stepwise AIC,0.36144638315584976
Stepwise AIC,0.3611614778648088
Stepwise AIC,0.3498892753616055
Stepwise AIC,0.36741703612012944
Stepwise AIC,0.3502803698996786
Stepwise AIC,0.3816989330448455
Stepwise AIC,0.3920444156759334
Stepwise AIC,0.3318045639969105
Stepwise AIC,0.3636069313469801
Stepwise AIC,0.3507145457296117
Stepwise AIC,0.3695730618116817
Stepwise AIC,0.3624136476335935
Stepwise AIC,0.37213285957370523
Stepwise AIC,0.3578057917476032
Stepwise AIC,0.33229339787180656
Stepwise AIC,0.3677441246100759
Stepwise AIC,0.37527790456559484
Stepwise AIC,0.357868361974216
Stepwise AIC,0.3746546517474145
Stepwise AIC,0.35037278758260515
Stepwise AIC,0.34221021003304264
Stepwise AIC,0.3716588501965903
Stepwise AIC,0.3912888190688357
Stepwise AIC,0.3573801276525225
Stepwise AIC,0.361565044998729
Stepwise AIC,0.3791711144899774
Stepwise AIC,0.3389078915232182
Stepwise AIC,0.362208174560273
Stepwise AIC,0.3696793194636725
Stepwise AIC,0.37503794133063684
Stepwise AIC,0.33420529076346805
Stepwise AIC,0.3560054428305246
Stepwise AIC,0.3550947072543583
Stepwise AIC,0.39015966562588633
Stepwise AIC,0.33418914981333125
Stepwise AIC,0.37557731747264345
Stepwise AIC,0.3743747062344749
Stepwise AIC,0.3303684332331741
Stepwise AIC,0.38230506998236746
Backward AIC,0.35051306523137427
Backward AIC,0.32871193839553203
Backward AIC,0.35299342702391057
Backward AIC,0.3943411575726029
Backward AIC,0.378135981830263
Backward AIC,0.3565838811995181
Backward AIC,0.3410010776430876
Backward AIC,0.38378405199709087
Backward AIC,0.38016678757555933
Backward AIC,0.34395897116747287
Backward AIC,0.3256351726501905
Backward AIC,0.33805411185713863
Backward AIC,0.37811048250927193
Backward AIC,0.3886792539534113
Backward AIC,0.3706545380499823
Backward AIC,0.3863548423658826
Backward AIC,0.3619191838682372
Backward AIC,0.3676299507762374
Backward AIC,0.35293958505577494
Backward AIC,0.34605024279757246
Backward AIC,0.33160043513692194
Backward AIC,0.4016610145025077
Backward AIC,0.3763346828876617
Backward AIC,0.3458793778801851
Backward AIC,0.34587581214886065
Backward AIC,0.38541517618049836
Backward AIC,0.36266284914111735
Backward AIC,0.35408289863314846
Backward AIC,0.3570326287298071
Backward AIC,0.35576079701556096
Backward AIC,0.364905374821195
Backward AIC,0.3667031372798334
Backward AIC,0.35012494075473566
Backward AIC,0.3492664378968926
Backward AIC,0.37233579216039037
Backward AIC,0.3219083394122937
Backward AIC,0.3904588961051423
Backward AIC,0.3867356070259248
Backward AIC,0.33667229997326154
Backward AIC,0.37024892005775
Backward AIC,0.3452261971246051
Backward AIC,0.37209928776958723
Backward AIC,0.36358872906195416
Backward AIC,0.35981563659852067
Backward AIC,0.3673647535171063
Backward AIC,0.3411181368598134
Backward AIC,0.38255938776425225
Backward AIC,0.36852043985849336
Backward AIC,0.37785481989233294
Backward AIC,0.3273765751884328
Backward AIC,0.3858410521245744
Backward AIC,0.3436229377934671
Backward AIC,0.3246896846348566
Backward AIC,0.3872648046240623
Backward AIC,0.37442330965929826
Backward AIC,0.3486985797702735
Backward AIC,0.386082206732109
Backward AIC,0.3359301372676968
Backward AIC,0.3352991060755458
Backward AIC,0.3984128173504283
Backward AIC,0.36146971330319466
Backward AIC,0.3614463831558642
Backward AIC,0.3611614778649226
Backward AIC,0.349889275361573
Backward AIC,0.36741703612018495
Backward AIC,0.35028036989967537
Backward AIC,0.38169893304484015
Backward AIC,0.3920444156759417
Backward AIC,0.3318045639968561
Backward AIC,0.36360693134708466
Backward AIC,0.3507145457296055
Backward AIC,0.3695730618116885
Backward AIC,0.3624136476335861
Backward AIC,0.37213285957371056
Backward AIC,0.3578057917475711
Backward AIC,0.33229339787182044
Backward AIC,0.36774412461007777
Backward AIC,0.3752779045656378
Backward AIC,0.3578683619742322
Backward AIC,0.3746546517474696
Backward AIC,0.35037278758256263
Backward AIC,0.3422102100330444
Backward AIC,0.37165885019659695
Backward AIC,0.3912888190687438
Backward AIC,0.35738012765255256
Backward AIC,0.36156504499873665
Backward AIC,0.3791711144899922
Backward AIC,0.33890789152328327
