Modelo,PseudoR2_train,PseudoR2_test,Acc_train@0.5,Acc_test@0.5,N_parametros_aprox,N_vars_cont,N_vars_categ,Gap_Acc
Forward AIC,0.2592966412052812,0.2473499815367695,0.7906905055487053,0.7953144266337855,33,8,4,0.0046239210850801404
Forward BIC,0.2592966412052812,0.2473499815367695,0.7906905055487053,0.7953144266337855,33,8,4,0.0046239210850801404
Stepwise AIC,0.2589003834433084,0.2473143847667466,0.7902281134401973,0.7953144266337855,32,7,4,0.00508631319358821
Stepwise BIC,0.2589003834433084,0.2473143847667466,0.7902281134401973,0.7953144266337855,32,7,4,0.00508631319358821
