PuntoCorte,Accuracy,Sensibilidad,Especificidad,Youden
0.1,0.44574599260172626,0.9603174603174603,0.21377459749552774,0.1740920578129881
0.11,0.46979038224414305,0.9484126984126984,0.25402504472271914,0.2024377431354174
0.12000000000000001,0.5110974106041923,0.9384920634920635,0.3184257602862254,0.25691782377828876
0.13,0.5437731196054254,0.9246031746031746,0.37209302325581395,0.2966961978589886
0.14,0.5764488286066585,0.8968253968253969,0.43202146690518783,0.3288468637305848
0.15000000000000002,0.5974106041923551,0.8670634920634921,0.47584973166368516,0.34291322372717725
0.16,0.6208384710234278,0.8392857142857143,0.5223613595706619,0.3616470738563762
0.17,0.6374845869297164,0.8293650793650794,0.5509838998211091,0.3803489791861885
0.18,0.6535141800246609,0.8134920634920635,0.5813953488372093,0.3948874123292727
0.19,0.6707768187422934,0.8055555555555556,0.6100178890876565,0.4155734446432122
0.2,0.686189889025894,0.7936507936507936,0.6377459749552773,0.4313967686060709
0.21000000000000002,0.6960542540073983,0.7857142857142857,0.6556350626118068,0.4413493483260926
0.22,0.7046855733662145,0.7718253968253969,0.6744186046511628,0.4462440014765596
0.23,0.7151664611590629,0.7658730158730159,0.6923076923076923,0.45818070818070833
0.24000000000000002,0.7274969173859432,0.7579365079365079,0.7137745974955277,0.47171110543203554
0.25,0.7287299630086314,0.7440476190476191,0.721824686940966,0.4658723059885852
0.26,0.7324290998766955,0.7341269841269841,0.7316636851520573,0.4657906692790412
0.27,0.7385943279901356,0.7281746031746031,0.7432915921288015,0.4714661953034045
0.28,0.747842170160296,0.7242063492063492,0.7584973166368515,0.4827036658432007
0.29000000000000004,0.7515413070283601,0.7123015873015873,0.7692307692307693,0.4815323565323566
0.30000000000000004,0.7583230579531443,0.7043650793650794,0.7826475849731663,0.48701266433824575
0.31,0.7626387176325524,0.6944444444444444,0.7933810375670841,0.4878254820115284
0.32,0.7614056720098644,0.6785714285714286,0.7987477638640429,0.4773191924354716
0.33,0.7644882860665845,0.6686507936507936,0.8076923076923077,0.4763431013431014
0.33999999999999997,0.7712700369913686,0.6607142857142857,0.8211091234347049,0.4818234091489906
0.35,0.7731196054254007,0.6527777777777778,0.8273703041144902,0.4801480818922679
0.36,0.7712700369913686,0.6428571428571429,0.8291592128801432,0.47201635573728606
0.37,0.7712700369913686,0.6349206349206349,0.832737030411449,0.46765766533208386
0.38,0.7731196054254007,0.628968253968254,0.8381037567084079,0.4670720106766617
0.39,0.7743526510480888,0.625,0.8416815742397138,0.4666815742397139
0.4,0.7792848335388409,0.621031746031746,0.8506261180679785,0.47165786409972466
0.41000000000000003,0.781134401972873,0.6111111111111112,0.8577817531305904,0.4688928642417016
0.42000000000000004,0.7872996300863132,0.6091269841269841,0.8676207513416816,0.47674773546866556
0.43000000000000005,0.7854500616522812,0.5992063492063492,0.8694096601073346,0.46861600931368375
0.44000000000000006,0.7879161528976573,0.5952380952380952,0.8747763864042933,0.47001448164238857
0.45000000000000007,0.7879161528976573,0.5833333333333334,0.8801431127012522,0.4634764460345857
0.45999999999999996,0.7897657213316893,0.5793650793650794,0.8846153846153846,0.4639804639804641
0.47,0.7916152897657214,0.5714285714285714,0.8908765652951699,0.4623051367237414
0.48,0.7928483353884094,0.5674603174603174,0.8944543828264758,0.46191470028679316
0.49,0.7897657213316893,0.5535714285714286,0.8962432915921288,0.4498147201635574
0.5,0.7909987669543773,0.5456349206349206,0.9016100178890877,0.44724493852400826
0.51,0.7909987669543773,0.5376984126984127,0.9051878354203936,0.4428862481188063
0.52,0.7916152897657214,0.5297619047619048,0.909660107334526,0.4394220120964307
0.53,0.7928483353884094,0.5257936507936508,0.9132379248658319,0.4390315756594827
0.54,0.7928483353884094,0.5198412698412699,0.9159212880143113,0.43576255785558127
0.55,0.7928483353884094,0.5099206349206349,0.9203935599284436,0.4303141948490785
0.56,0.7903822441430333,0.498015873015873,0.9221824686940966,0.4201983417099697
0.5700000000000001,0.7903822441430333,0.49206349206349204,0.924865831842576,0.4169293239060681
0.58,0.7903822441430333,0.4742063492063492,0.9329159212880143,0.40712227049436356
0.59,0.7903822441430333,0.4623015873015873,0.9382826475849732,0.4005842348865605
0.6,0.7879161528976573,0.4523809523809524,0.9391771019677997,0.391558054348752
0.61,0.7891491985203453,0.44841269841269843,0.9427549194991055,0.391167617911804
0.62,0.7891491985203453,0.44841269841269843,0.9427549194991055,0.391167617911804
0.63,0.7872996300863132,0.4365079365079365,0.945438282647585,0.3819462191555214
0.64,0.782983970406905,0.42063492063492064,0.9463327370304114,0.366967657665332
0.65,0.7842170160295932,0.4166666666666667,0.9499105545617174,0.366577221228384
0.66,0.7842170160295932,0.40674603174603174,0.9543828264758497,0.36112885822188145
0.67,0.7842170160295932,0.4027777777777778,0.9561717352415027,0.35894951301928035
0.6799999999999999,0.7786683107274969,0.38095238095238093,0.9579606440071556,0.33891302495953646
0.69,0.7712700369913686,0.3551587301587302,0.9588550983899821,0.3140138285487122
0.7,0.7681874229346486,0.3373015873015873,0.962432915921288,0.2997345032228753
0.71,0.7669543773119606,0.32936507936507936,0.964221824686941,0.29358690405202026
0.72,0.7638717632552404,0.30952380952380953,0.9686940966010733,0.27821790612488284
0.73,0.7638717632552404,0.2976190476190476,0.9740608228980322,0.27167987051707976
0.74,0.7620221948212084,0.27976190476190477,0.9794275491949911,0.25918945395689574
0.75,0.7607891491985204,0.2718253968253968,0.981216457960644,0.2530418547860409
0.76,0.7570900123304563,0.25595238095238093,0.983005366726297,0.23895774767867795
0.77,0.7546239210850801,0.2400793650793651,0.9865831842576028,0.22666254933696783
0.78,0.752157829839704,0.22420634920634921,0.9901610017889088,0.21436735099525794
0.79,0.7466091245376079,0.20634920634920634,0.9901610017889088,0.19651020813811515
0.8,0.7435265104808878,0.19444444444444445,0.9910554561717353,0.1854999006161797
0.8099999999999999,0.7422934648581998,0.1865079365079365,0.9928443649373881,0.17935230144532466
0.82,0.7385943279901356,0.16865079365079366,0.9955277280858676,0.16417852173666136
0.83,0.7324290998766955,0.1488095238095238,0.9955277280858676,0.14433725189539137
0.84,0.7299630086313194,0.1349206349206349,0.998211091234347,0.13313172615498203
0.85,0.7250308261405672,0.11706349206349206,0.9991055456171736,0.11616903768066567
0.86,0.7194821208384711,0.0992063492063492,0.9991055456171736,0.09831189482352287
0.87,0.7151664611590629,0.08333333333333333,1.0,0.08333333333333326
0.88,0.7077681874229347,0.05952380952380952,1.0,0.059523809523809534
0.89,0.7028360049321825,0.04365079365079365,1.0,0.04365079365079372
0.9,0.6997533908754624,0.03373015873015873,1.0,0.03373015873015883
