Modelo,PseudoR2_train,PseudoR2_test,Acc_train@0.5,Acc_test@0.5,N_parametros_aprox,N_vars_cont,N_vars_categ
Forward AIC,0.2592966412052812,0.24734998153676957,0.7906905055487053,0.7953144266337855,33,8,4
Forward BIC,0.2592966412052812,0.24734998153676957,0.7906905055487053,0.7953144266337855,33,8,4
Stepwise AIC,0.25890038344330846,0.2473143847667466,0.7902281134401973,0.7953144266337855,32,7,4
Stepwise BIC,0.25890038344330846,0.2473143847667466,0.7902281134401973,0.7953144266337855,32,7,4
Backward AIC,0.2574296629899804,0.2461095207138938,0.7922318125770653,0.7885326757090012,30,6,3
Backward BIC,0.2574296629899804,0.2461095207138938,0.7922318125770653,0.7885326757090012,30,6,3
